family	strain AcoPra	Frankia alni ACN14a	Frankia sp. QA3	Frankia torreyi ACN1ag	Frankia alni AvcI1	Frankia torreyi CpI1-S	Candidatus Frankia alpina AvVan	Frankia canadensi ARgP5	Candidatus Frankia nodulisporulans AgTrS	Candidatus Frankia alpina AiOr	Candidatus Frankia nodulisporulans AgUmASt1	Candidatus Frankia nodulisporulans AgUmASH1	Frankia casuarinae CcI3	Frankia casuarinae CcI6	Frankia casuarinae Thr	Frankia casuarinae CeD	Frankia casuarinae Allo2	Frankia casuarinae BR	Frankia casuarinae KB5	Candidatus Frankia californiensis Dg2	Candidatus Frankia datiscae Dg1	Frankia coriaria BMG5.1	Frankia meridionalis Cppng1	Frankia sp. EAN1pec	Frankia sp. EUN1f	Frankia discariae BCU110501	Frankia elaeagni BMG5.12	Frankia irregularis G2	Frankia soli NRRL B-16219	Frankia inefficax EuI1c	Frankia saprophytica CN3	Frankia sp. DC12	Frankia asymbiotica M16386
33_frankia_FAM000001	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	2	0	0	1	1	1	0	0	0	0	1	0
33_frankia_FAM000002	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	2	1	1	1	0	0	1	2	0	1	1	2	0	0	0	0	1	0
33_frankia_FAM000003	52	94	91	95	94	85	37	98	32	36	23	24	17	17	17	15	17	17	16	18	22	36	45	132	142	110	82	163	86	163	184	48	155
33_frankia_FAM000004	2	1	3	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	4	3	3	4	3	4	0	3
33_frankia_FAM000005	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
33_frankia_FAM000008	8	10	9	10	10	10	9	9	7	10	7	7	9	9	9	9	9	8	9	5	8	9	6	8	9	8	7	10	7	9	7	11	10
33_frankia_FAM000009	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1
33_frankia_FAM000010	14	13	12	12	14	14	11	19	12	12	12	12	15	15	15	15	15	14	15	7	11	9	15	16	12	18	16	17	15	25	24	19	19
33_frankia_FAM000011	4	3	2	4	3	3	0	2	1	2	1	1	4	4	4	4	4	3	4	3	3	3	2	1	0	3	2	2	2	4	4	5	4
33_frankia_FAM000012	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1
33_frankia_FAM000013	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1
33_frankia_FAM000014	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0
33_frankia_FAM000015	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1
33_frankia_FAM000016	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0
33_frankia_FAM000017	4	2	1	2	2	2	2	3	3	2	1	1	1	1	1	1	1	1	1	0	0	0	0	2	3	2	3	3	2	2	5	1	4
33_frankia_FAM000018	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1
33_frankia_FAM000019	3	2	2	3	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2
33_frankia_FAM000021	4	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM000025	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
33_frankia_FAM000026	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	2	2	2	2
33_frankia_FAM000027	2	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0
33_frankia_FAM000028	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1
33_frankia_FAM000029	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
33_frankia_FAM000030	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
33_frankia_FAM000031	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	1	2	2	2	1
33_frankia_FAM000032	5	5	5	8	5	8	3	3	3	3	2	2	2	3	2	2	3	3	2	0	2	3	3	1	4	6	7	4	4	3	6	3	5
33_frankia_FAM000033	23	17	17	18	18	20	10	28	12	10	12	11	8	8	8	8	8	8	7	10	10	8	9	34	34	33	24	39	31	39	57	17	37
