Organism	Label	Cluster
Frankia Ag45Mut15	FUMID1	I_1
Frankia AgB32	FPAL32	I_2
Frankia AgKG84/4	FPAL84	I_3
Frankia AgPm24	FUMID2	I_4
Frankia AiPa1	FABIE1	I_5
Frankia AiPS1	FRAIPS	I_6
Frankia sp. AgB1.8	JAEACR01	IV_7
Frankia sp. AgW1.1	JADWYT01	IV_8
Frankia datiscae Dg1	DAGLO	II_9
Frankia coriariae BMG5.1	JWIO01	II_10
Frankia discariae BCU110501	ARDT	III_11
Frankia elaeagni BMG5.12	ARFH	III_12
Frankia R43	FRANR43	III_13
Frankia sp. EAN1pec	Franean1	III_14
Frankia sp. EUN1f	ADGX	III_15
Frankia inefficax EuI1c	FraEuI1c	IV_16
Frankia nepalensis CN6	JAEACQ01	IV_17
Frankia nepalensis CNm7	JADWYW01	IV_18
Frankia saprophytica Cn3	AGJN02	IV_19
Frankia sp. DC12	LANG01	IV_20
Frankia alni ACN14a	FRAAL	Ia_21
Frankia AvVan	FRAVVAN	Ia_22
Frankia canadensis ARgP5	FRACA	Ia_23
Frankia nodulisporulans AgTrS	FRAGTRS	Ia_24
Frankia nodulisporulans AgUmASH1	FRAK3	Ia_25
Frankia nodulisporulans AgUmASt1	FRAK1	Ia_26
Frankia sp. ACN1ag	LJPA01	Ia_27
Frankia sp. alpina	FRAIOR	Ia_28
Frankia sp. AvcI1	LJFZ01	Ia_29
Frankia sp. QA3	AJWA	Ia_30
Frankia torreyi CpI1-S	JYFN01	Ia_31
Frankia casuarinae CcI3	Francci3	Ic_32
Frankia casuarinae CcI6	AYTZ	Ic_33
Frankia casuarinae KB5	MRUJ01	Ic_34
Frankia AcoPRA	FRAACOPRA	I_35
Frankia HR75	FRAHR75	III_36
Frankia moiroudii Ea1-12	FMEAI12	III_37
Frankia NRRL B-16413	FRMYRGA	I_38
Frankia sp. AgB1.9	JADWYX01	IV_39
Frankia sp. Cc1.17	MBLM01	III_40
Frankia NRRL B-16322	FRCEAAM	III_41
