primerId	amps_nb	mean_amp_length	count_I	count_II	count_III	count_IV	non_target_count	distinct_clusters	%_amp_I	%_amp_II	%_amp_III	%_amp_IV	%genomes_amp
100376_1	13.0	392.0	6.0	0.0	0.0	7.0	0	2	28.57	0.0	0.0	87.5	31.71
103120_2	23.0	579.0	16.0	0.0	0.0	7.0	0	2	76.19	0.0	0.0	87.5	56.1
103120_4	25.0	576.0	16.0	2.0	0.0	7.0	0	3	76.19	100.0	0.0	87.5	60.98
103403_1	23.0	280.0	22.0	0.0	0.0	1.0	0	2	104.76	0.0	0.0	12.5	56.1
103403_2	20.0	285.0	19.0	0.0	0.0	1.0	0	2	90.48	0.0	0.0	12.5	48.78
105859_9	20.0	639.25	13.0	1.0	6.0	0.0	0	3	61.9	50.0	66.67	0.0	48.78
106994_2	33.0	342.969696969697	22.0	1.0	7.0	3.0	0	4	104.76	50.0	77.78	37.5	80.49
106994_3	24.0	349.0	18.0	0.0	3.0	3.0	0	3	85.71	0.0	33.33	37.5	58.54
108341_1	23.0	319.0	16.0	0.0	3.0	4.0	0	3	76.19	0.0	33.33	50.0	56.1
109_11	34.0	409.0	19.0	2.0	5.0	8.0	1	4	90.48	100.0	55.56	100.0	82.93
109_15	20.0	319.0	9.0	0.0	3.0	8.0	0	3	42.86	0.0	33.33	100.0	48.78
109_17	32.0	510.0	20.0	0.0	9.0	3.0	0	3	95.24	0.0	100.0	37.5	78.05
109_4	26.0	501.0	17.0	0.0	9.0	0.0	0	2	80.95	0.0	100.0	0.0	63.41
109_5	39.0	521.0	22.0	0.0	9.0	8.0	2	3	104.76	0.0	100.0	100.0	95.12
10_1	35.0	642.0	17.0	2.0	8.0	8.0	0	4	80.95	100.0	88.89	100.0	85.37
10_11	32.0	631.0	22.0	2.0	0.0	8.0	0	3	104.76	100.0	0.0	100.0	78.05
10_12	30.0	469.0	21.0	0.0	9.0	0.0	0	2	100.0	0.0	100.0	0.0	73.17
10_15	38.0	412.0	21.0	0.0	9.0	8.0	0	3	100.0	0.0	100.0	100.0	92.68
10_16	36.0	492.0	17.0	2.0	9.0	8.0	0	4	80.95	100.0	100.0	100.0	87.8
10_17	31.0	475.0	19.0	0.0	9.0	3.0	0	3	90.48	0.0	100.0	37.5	75.61
10_4	29.0	475.0	17.0	2.0	7.0	3.0	0	4	80.95	100.0	77.78	37.5	70.73
10_5	29.0	483.0	19.0	0.0	9.0	1.0	0	3	90.48	0.0	100.0	12.5	70.73
10_6	34.0	628.0	19.0	0.0	8.0	7.0	0	3	90.48	0.0	88.89	87.5	82.93
10_7	35.0	478.0	20.0	0.0	9.0	6.0	0	3	95.24	0.0	100.0	75.0	85.37
10_8	36.0	652.0	22.0	0.0	8.0	6.0	0	3	104.76	0.0	88.89	75.0	87.8
10_9	37.0	315.0	19.0	2.0	8.0	8.0	0	4	90.48	100.0	88.89	100.0	90.24
113680_1	31.0	445.96774193548384	17.0	2.0	7.0	5.0	0	4	80.95	100.0	77.78	62.5	75.61
113_1	38.0	328.3421052631579	22.0	0.0	9.0	7.0	0	3	104.76	0.0	100.0	87.5	92.68
113_3	26.0	310.7307692307692	15.0	2.0	9.0	0.0	0	3	71.43	100.0	100.0	0.0	63.41
113_4	22.0	323.77272727272725	13.0	0.0	9.0	0.0	0	2	61.9	0.0	100.0	0.0	53.66
113_5	38.0	329.3421052631579	22.0	0.0	9.0	7.0	0	3	104.76	0.0	100.0	87.5	92.68
113_6	36.0	331.4166666666667	22.0	0.0	9.0	5.0	0	3	104.76	0.0	100.0	62.5	87.8
11_12	36.0	571.0	22.0	2.0	9.0	3.0	0	4	104.76	100.0	100.0	37.5	87.8
11_15	34.0	467.94117647058823	22.0	2.0	7.0	3.0	0	4	104.76	100.0	77.78	37.5	82.93
11_17	39.0	366.0	21.0	2.0	9.0	7.0	0	4	100.0	100.0	100.0	87.5	95.12
11_18	36.0	411.0	22.0	2.0	9.0	3.0	0	4	104.76	100.0	100.0	37.5	87.8
11_2	31.0	528.0	20.0	0.0	3.0	8.0	1	3	95.24	0.0	33.33	100.0	75.61
11_4	35.0	635.0	21.0	0.0	7.0	7.0	0	3	100.0	0.0	77.78	87.5	85.37
125_1	16.0	480.5625	15.0	0.0	1.0	0.0	0	2	71.43	0.0	11.11	0.0	39.02
125_2	20.0	170.7	12.0	0.0	4.0	4.0	0	3	57.14	0.0	44.44	50.0	48.78
125_3	14.0	482.42857142857144	14.0	0.0	0.0	0.0	0	1	66.67	0.0	0.0	0.0	34.15
134285_1	24.0	492.0	7.0	0.0	9.0	8.0	0	3	33.33	0.0	100.0	100.0	58.54
134285_10	41.0	338.0975609756098	22.0	2.0	9.0	8.0	0	4	104.76	100.0	100.0	100.0	100.0
134285_2	37.0	301.0	21.0	0.0	8.0	8.0	0	3	100.0	0.0	88.89	100.0	90.24
134285_4	31.0	306.0	21.0	0.0	8.0	2.0	0	3	100.0	0.0	88.89	25.0	75.61
134285_5	22.0	353.0	13.0	2.0	0.0	7.0	0	3	61.9	100.0	0.0	87.5	53.66
