primerId	amps_nb	mean_amp_length	count_I	count_II	count_III	count_IV	non_target_count	distinct_clusters	%_amp_I	%_amp_II	%_amp_III	%_amp_IV	%genomes_amp
100376_1	3.0	392.0	2.0	0.0	0.0	1.0	0	2	9.52	0.0	0.0	12.5	7.32
103120_2	2.0	579.0	2.0	0.0	0.0	0.0	0	1	9.52	0.0	0.0	0.0	4.88
103120_4	9.0	576.0	9.0	0.0	0.0	0.0	0	1	42.86	0.0	0.0	0.0	21.95
103403_1	17.0	280.0	17.0	0.0	0.0	0.0	0	1	80.95	0.0	0.0	0.0	41.46
103403_2	8.0	285.0	8.0	0.0	0.0	0.0	0	1	38.1	0.0	0.0	0.0	19.51
105859_9	1.0	640.0	1.0	0.0	0.0	0.0	0	1	4.76	0.0	0.0	0.0	2.44
106994_2	6.0	343.0	4.0	0.0	0.0	2.0	0	2	19.05	0.0	0.0	25.0	14.63
106994_3	6.0	349.0	3.0	0.0	0.0	3.0	0	2	14.29	0.0	0.0	37.5	14.63
108341_1	1.0	319.0	1.0	0.0	0.0	0.0	0	1	4.76	0.0	0.0	0.0	2.44
109_11	19.0	409.0	19.0	0.0	0.0	0.0	0	1	90.48	0.0	0.0	0.0	46.34
109_15	1.0	319.0	0.0	0.0	0.0	1.0	0	1	0.0	0.0	0.0	12.5	2.44
109_17	16.0	510.0	7.0	0.0	9.0	0.0	0	2	33.33	0.0	100.0	0.0	39.02
109_4	16.0	501.0	7.0	0.0	9.0	0.0	0	2	33.33	0.0	100.0	0.0	39.02
109_5	30.0	521.0	17.0	0.0	5.0	8.0	1	3	80.95	0.0	55.56	100.0	73.17
10_1	13.0	642.0	5.0	2.0	1.0	5.0	0	4	23.81	100.0	11.11	62.5	31.71
10_11	19.0	631.0	14.0	0.0	0.0	5.0	0	2	66.67	0.0	0.0	62.5	46.34
10_12	15.0	469.0	15.0	0.0	0.0	0.0	0	1	71.43	0.0	0.0	0.0	36.59
10_15	13.0	412.0	8.0	0.0	0.0	5.0	0	2	38.1	0.0	0.0	62.5	31.71
10_16	8.0	492.0	7.0	0.0	1.0	0.0	0	2	33.33	0.0	11.11	0.0	19.51
10_17	5.0	475.0	0.0	0.0	5.0	0.0	0	1	0.0	0.0	55.56	0.0	12.2
10_4	7.0	475.0	7.0	0.0	0.0	0.0	0	1	33.33	0.0	0.0	0.0	17.07
10_5	7.0	483.0	7.0	0.0	0.0	0.0	0	1	33.33	0.0	0.0	0.0	17.07
10_6	2.0	628.0	2.0	0.0	0.0	0.0	0	1	9.52	0.0	0.0	0.0	4.88
10_7	18.0	478.0	18.0	0.0	0.0	0.0	0	1	85.71	0.0	0.0	0.0	43.9
10_8	21.0	652.0	21.0	0.0	0.0	0.0	0	1	100.0	0.0	0.0	0.0	51.22
10_9	23.0	315.0	14.0	2.0	2.0	5.0	0	4	66.67	100.0	22.22	62.5	56.1
113680_1	9.0	446.0	8.0	0.0	1.0	0.0	0	2	38.1	0.0	11.11	0.0	21.95
113_1	22.0	327.40909090909093	8.0	0.0	9.0	5.0	0	3	38.1	0.0	100.0	62.5	53.66
113_3	5.0	309.0	0.0	0.0	5.0	0.0	0	1	0.0	0.0	55.56	0.0	12.2
113_4	13.0	323.84615384615387	8.0	0.0	5.0	0.0	0	2	38.1	0.0	55.56	0.0	31.71
113_5	14.0	326.92857142857144	0.0	0.0	9.0	5.0	0	2	0.0	0.0	100.0	62.5	34.15
113_6	17.0	331.4117647058824	8.0	0.0	9.0	0.0	0	2	38.1	0.0	100.0	0.0	41.46
11_12	23.0	571.0	15.0	2.0	6.0	0.0	0	3	71.43	100.0	66.67	0.0	56.1
11_15	17.0	468.0	15.0	0.0	1.0	1.0	0	3	71.43	0.0	11.11	12.5	41.46
11_17	21.0	366.0	14.0	0.0	5.0	2.0	0	3	66.67	0.0	55.56	25.0	51.22
11_18	25.0	411.0	21.0	2.0	1.0	1.0	0	4	100.0	100.0	11.11	12.5	60.98
11_2	18.0	528.0	14.0	0.0	0.0	4.0	0	2	66.67	0.0	0.0	50.0	43.9
11_4	16.0	635.0	12.0	0.0	2.0	2.0	0	3	57.14	0.0	22.22	25.0	39.02
125_1	3.0	490.0	3.0	0.0	0.0	0.0	0	1	14.29	0.0	0.0	0.0	7.32
125_2	2.0	177.0	2.0	0.0	0.0	0.0	0	1	9.52	0.0	0.0	0.0	4.88
125_3	3.0	495.0	3.0	0.0	0.0	0.0	0	1	14.29	0.0	0.0	0.0	7.32
134285_1	10.0	492.0	1.0	0.0	2.0	7.0	0	3	4.76	0.0	22.22	87.5	24.39
134285_10	30.0	337.8666666666667	19.0	2.0	6.0	3.0	0	4	90.48	100.0	66.67	37.5	73.17
134285_2	8.0	301.0	6.0	0.0	2.0	0.0	0	2	28.57	0.0	22.22	0.0	19.51
134285_4	4.0	306.0	4.0	0.0	0.0	0.0	0	1	19.05	0.0	0.0	0.0	9.76
134285_5	6.0	353.0	5.0	0.0	0.0	1.0	0	2	23.81	0.0	0.0	12.5	14.63
134285_8	20.0	540.7	10.0	0.0	8.0	2.0	0	3	47.62	0.0	88.89	25.0	48.78
1376_6	17.0	418.0	6.0	0.0	5.0	6.0	0	3	28.57	0.0	55.56	75.0	41.46
139_14	11.0	349.0	4.0	0.0	0.0	7.0	0	2	19.05	0.0	0.0	87.5	26.83
139_19	12.0	576.0	7.0	0.0	5.0	0.0	0	2	33.33	0.0	55.56	0.0	29.27
139_3	16.0	397.0	14.0	2.0	0.0	0.0	0	2	66.67	100.0	0.0	0.0	39.02
139_9	4.0	630.0	3.0	1.0	0.0	0.0	0	2	14.29	50.0	0.0	0.0	9.76
141154_11	3.0	323.0	1.0	0.0	0.0	2.0	0	2	4.76	0.0	0.0	25.0	7.32
142805_11	10.0	350.0	6.0	2.0	2.0	0.0	0	3	28.57	100.0	22.22	0.0	24.39
142805_12	12.0	440.0	6.0	2.0	4.0	0.0	0	3	28.57	100.0	44.44	0.0	29.27
142805_13	10.0	416.0	1.0	0.0	6.0	3.0	0	3	4.76	0.0	66.67	37.5	24.39
142805_16	8.0	454.0	8.0	0.0	0.0	0.0	0	1	38.1	0.0	0.0	0.0	19.51
142805_18	16.0	303.0	9.0	1.0	6.0	0.0	0	3	42.86	50.0	66.67	0.0	39.02
142805_19	14.0	457.0	14.0	0.0	0.0	0.0	0	1	66.67	0.0	0.0	0.0	34.15
142805_5	8.0	418.0	6.0	0.0	2.0	0.0	0	2	28.57	0.0	22.22	0.0	19.51
142805_7	21.0	662.0	8.0	0.0	8.0	5.0	0	3	38.1	0.0	88.89	62.5	51.22
