AmpId	non_target_count
393_4	1
393_7	3
393_19	1
109_5	2
109_11	1
236_9	1
27380_6	1
5538_7	1
3219_6	2
339_1	1
339_5	1
339_6	1
339_10	1
3350_1	1
19_11	1
58363_4	1
58363_7	1
58363_8	1
58363_9	1
58363_10	1
58363_15	1
58363_20	1
14379_7	1
24289_12	2
24289_13	1
3903_7	1
301_11	1
5724_7	1
5724_9	1
16825_4	1
16825_6	4
16825_9	2
16825_12	4
16825_16	1
46_8	2
46_9	2
46_18	1
92_1	1
92_10	2
92_11	2
92_12	1
86_18	1
49_2	1
49_4	3
49_5	3
49_6	2
49_7	2
49_8	1
3598_3	1
3598_10	2
23018_11	1
23018_18	1
5960_5	1
25479_6	1
25479_12	1
25479_14	1
43_7	1
3589_4	2
314_17	1
599_3	1
3421_1	1
3421_2	1
3421_4	1
3421_5	1
3421_9	1
3421_11	1
3421_16	1
3421_17	2
3421_20	1
5379_3	1
14510_1	1
3210_2	1
3210_3	2
526_8	3
526_12	2
70_6	1
3510_4	2
20_13	1
20_19	2
11_2	1
817_19	1
15344_7	1
15344_8	1
51058_19	1
536_18	1
20827_2	1
20827_10	1
