AmpId	gene	amp	amps_nb	SequenceId	cluster	cluster_group	sequence	PositionInSequence	Length	count_I	count_II	count_III	count_IV
ftsZ_amp_1	ftsZ	1.0	31.0	III_11_6264C00002.1	III	III	11_6264C00002.1	245174	757	22.0	0.0	9.0	0.0
ftsZ_amp_2	ftsZ	2.0	31.0	III_12_6265C00002.1	III	III	12_6265C00002.1	282113	757	22.0	0.0	9.0	0.0
ftsZ_amp_3	ftsZ	3.0	31.0	III_13_6010C00002.1	III	III	13_6010C00002.1	549480	757	22.0	0.0	9.0	0.0
ftsZ_amp_4	ftsZ	4.0	31.0	III_14_1121.1	III	III	14_1121.1	6096821	757	22.0	0.0	9.0	0.0
ftsZ_amp_5	ftsZ	5.0	31.0	III_15_10759C00355.1	III	III	15_10759C00355.1	64092	757	22.0	0.0	9.0	0.0
ftsZ_amp_6	ftsZ	6.0	31.0	III_36_22311C00062.1	III	III	36_22311C00062.1	38621	757	22.0	0.0	9.0	0.0
ftsZ_amp_7	ftsZ	7.0	31.0	III_37_9940C00336.1	III	III	37_9940C00336.1	18740	757	22.0	0.0	9.0	0.0
ftsZ_amp_8	ftsZ	8.0	31.0	III_40_23543C00036.1	III	III	40_23543C00036.1	80943	757	22.0	0.0	9.0	0.0
ftsZ_amp_9	ftsZ	9.0	31.0	III_41_22826C00370.1	III	III	41_22826C00370.1	6160	757	22.0	0.0	9.0	0.0
ftsZ_amp_10	ftsZ	10.0	31.0	I_1_22555C00007.1	I	I	1_22555C00007.1	186840	757	22.0	0.0	9.0	0.0
ftsZ_amp_11	ftsZ	11.0	31.0	I_2_22603C00009.1	I	I	2_22603C00009.1	19126	757	22.0	0.0	9.0	0.0
ftsZ_amp_12	ftsZ	12.0	31.0	I_35_18770C00002.1	I	I	35_18770C00002.1	160194	757	22.0	0.0	9.0	0.0
ftsZ_amp_13	ftsZ	13.0	31.0	I_38_22827C00032.1	I	I	38_22827C00032.1	20024	757	22.0	0.0	9.0	0.0
ftsZ_amp_14	ftsZ	14.0	31.0	I_4_22608C00030.1	I	I	4_22608C00030.1	47576	757	22.0	0.0	9.0	0.0
ftsZ_amp_15	ftsZ	15.0	31.0	I_5_22828C00002.2	I	I	5_22828C00002.2	72667	757	22.0	0.0	9.0	0.0
ftsZ_amp_16	ftsZ	16.0	31.0	I_6_22825C00771.1	I	I	6_22825C00771.1	1228	757	22.0	0.0	9.0	0.0
ftsZ_amp_17	ftsZ	17.0	31.0	Ia_21_284.1	Ia	I	21_284.1	2411940	757	22.0	0.0	9.0	0.0
ftsZ_amp_18	ftsZ	18.0	31.0	Ia_22_14731C00080.1	Ia	I	22_14731C00080.1	1565	757	22.0	0.0	9.0	0.0
ftsZ_amp_19	ftsZ	19.0	31.0	Ia_23_10528C00106.1	Ia	I	23_10528C00106.1	16835	757	22.0	0.0	9.0	0.0
ftsZ_amp_20	ftsZ	20.0	31.0	Ia_24_14478C00005.1	Ia	I	24_14478C00005.1	53081	757	22.0	0.0	9.0	0.0
ftsZ_amp_21	ftsZ	21.0	31.0	Ia_25_17329C00150.1	Ia	I	25_17329C00150.1	16860	757	22.0	0.0	9.0	0.0
ftsZ_amp_22	ftsZ	22.0	31.0	Ia_26_17150C00139.1	Ia	I	26_17150C00139.1	16762	757	22.0	0.0	9.0	0.0
ftsZ_amp_23	ftsZ	23.0	31.0	Ia_27_19479C00005.1	Ia	I	27_19479C00005.1	171213	757	22.0	0.0	9.0	0.0
ftsZ_amp_24	ftsZ	24.0	31.0	Ia_28_14556C00014.1	Ia	I	28_14556C00014.1	27171	757	22.0	0.0	9.0	0.0
ftsZ_amp_25	ftsZ	25.0	31.0	Ia_29_19480C00039.1	Ia	I	29_19480C00039.1	54376	757	22.0	0.0	9.0	0.0
ftsZ_amp_26	ftsZ	26.0	31.0	Ia_30_6268C00049.1	Ia	I	30_6268C00049.1	38239	757	22.0	0.0	9.0	0.0
ftsZ_amp_27	ftsZ	27.0	31.0	Ia_31_6270C00004.1	Ia	I	31_6270C00004.1	124904	757	22.0	0.0	9.0	0.0
ftsZ_amp_28	ftsZ	28.0	31.0	Ic_32_1122.1	Ic	I	32_1122.1	1709375	757	22.0	0.0	9.0	0.0
ftsZ_amp_29	ftsZ	29.0	31.0	Ic_33_6266C00020.1	Ic	I	33_6266C00020.1	102480	757	22.0	0.0	9.0	0.0
ftsZ_amp_30	ftsZ	30.0	31.0	Ic_34_23503C00112.1	Ic	I	34_23503C00112.1	1529	757	22.0	0.0	9.0	0.0
ftsZ_amp_31	ftsZ	31.0	31.0	I_3_22829C01035.2	I	I	3_22829C01035.2	274	757	22.0	0.0	9.0	0.0
pgk_amp_1	pgk	1.0	31.0	III_11_6264C00007.1	III	III	11_6264C00007.1	230750	710	19.0	0.0	9.0	3.0
pgk_amp_2	pgk	2.0	31.0	III_12_6265C00010.1	III	III	12_6265C00010.1	93662	710	19.0	0.0	9.0	3.0
pgk_amp_3	pgk	3.0	31.0	III_13_6010C00002.1	III	III	13_6010C00002.1	395288	710	19.0	0.0	9.0	3.0
pgk_amp_4	pgk	4.0	31.0	III_14_1121.1	III	III	14_1121.1	2487734	710	19.0	0.0	9.0	3.0
pgk_amp_5	pgk	5.0	31.0	III_15_10759C00384.1	III	III	15_10759C00384.1	13674	710	19.0	0.0	9.0	3.0
pgk_amp_6	pgk	6.0	31.0	III_36_22311C00005.1	III	III	36_22311C00005.1	153087	710	19.0	0.0	9.0	3.0
pgk_amp_7	pgk	7.0	31.0	III_37_9940C00426.1	III	III	37_9940C00426.1	44490	710	19.0	0.0	9.0	3.0
pgk_amp_8	pgk	8.0	31.0	III_40_23543C00002.1	III	III	40_23543C00002.1	294200	710	19.0	0.0	9.0	3.0
pgk_amp_9	pgk	9.0	31.0	III_41_22826C00364.1	III	III	41_22826C00364.1	5230	710	19.0	0.0	9.0	3.0
pgk_amp_10	pgk	10.0	31.0	IV_17_22599C00378.1	IV	IV	17_22599C00378.1	12611	710	19.0	0.0	9.0	3.0
pgk_amp_11	pgk	11.0	31.0	IV_18_22602C00468.1	IV	IV	18_22602C00468.1	189	710	19.0	0.0	9.0	3.0
pgk_amp_12	pgk	12.0	31.0	IV_19_6271C00002.1	IV	IV	19_6271C00002.1	536990	710	19.0	0.0	9.0	3.0
pgk_amp_13	pgk	13.0	31.0	I_1_22555C00010.1	I	I	1_22555C00010.1	158435	710	19.0	0.0	9.0	3.0
pgk_amp_14	pgk	14.0	31.0	I_2_22603C00032.1	I	I	2_22603C00032.1	7426	710	19.0	0.0	9.0	3.0
pgk_amp_15	pgk	15.0	31.0	I_35_18770C00050.1	I	I	35_18770C00050.1	6691	710	19.0	0.0	9.0	3.0
