		strain AcoPra	Frankia alni ACN14a	Frankia sp. QA3	Frankia torreyi ACN1ag	Frankia alni AvcI1	Frankia torreyi CpI1-S	Candidatus Frankia alpina AvVan	Frankia canadensi ARgP5	Candidatus Frankia nodulisporulans AgTrS	Candidatus Frankia alpina AiOr	Candidatus Frankia nodulisporulans AgUmASt1	Candidatus Frankia nodulisporulans AgUmASH1	Frankia casuarinae CcI3	Frankia casuarinae CcI6	Frankia casuarinae Thr	Frankia casuarinae CeD	Frankia casuarinae Allo2	Frankia casuarinae BR	Frankia casuarinae KB5	Candidatus Frankia californiensis Dg2	Candidatus Frankia datiscae Dg1	Frankia coriaria BMG5.1	Frankia meridionalis Cppng1	Frankia sp. EAN1pec	Frankia sp. EUN1f	Frankia discariae BCU110501	Frankia elaeagni BMG5.12	Frankia irregularis G2	Frankia soli NRRL B-16219	Frankia inefficax EuI1c	Frankia saprophytica CN3	Frankia sp. DC12	Frankia asymbiotica M16386
		Ia	Ia	Ia	Ia	Ia	Ia	Ia	Ia	Ia	Ia	Ia	Ia	Ic	Ic	Ic	Ic	Ic	Ic	Ic	II	II	II	II	III	III	III	III	III	III	IV	IV	IV	IV
		FRAACOPRA	GCF_000058485	GCF_000262465	GCF_001414035	GCF_001420875	GCF_000948395	GCF_004803575	GCF_900197875	GCF_902806475	GCF_902806485	GCF_902812705	GCF_902813065	GCF_000013345	GCF_000503735	GCF_000611815	GCF_000732115	GCF_000733325	GCF_001636575	GCF_002099325	GCA_900067225	GCF_000177615	GCF_001017755	GCF_902812655	GCF_000018005	GCF_000177675	GCF_000373365	GCF_000374165	GCF_001536285	GCF_001854695	GCF_000166135	GCF_000235425	GCF_000966285	GCF_001983105
33_frankia_FAM000001	>FRAACOPRA_v1_10002|ID:78953460| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	2	0	0	1	1	1	0	0	0	0	1	0
33_frankia_FAM000002	>FRAACOPRA_v1_10003|ID:78953461| RHH_1 domain-containing protein [Frankia AcoPRA]	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	2	1	1	1	0	0	1	2	0	1	1	2	0	0	0	0	1	0
33_frankia_FAM000003	>FRAACOPRA_v1_10004|ID:78953462| SDR family NAD(P)-dependent oxidoreductase [Frankia AcoPRA]	52	94	91	95	94	85	37	98	32	36	23	24	17	17	17	15	17	17	16	18	22	36	45	132	142	110	82	163	86	163	184	48	155
33_frankia_FAM000004	>FRAACOPRA_v1_10006|ID:78953464| DNA-binding domain-containing protein, AraC-type [Frankia AcoPRA]	2	1	3	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	4	3	3	4	3	4	0	3
33_frankia_FAM000005	>FRAACOPRA_v1_10007|ID:78953465| Thioredoxin domain-containing protein [Frankia AcoPRA]	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
33_frankia_FAM000008	>FRAACOPRA_v1_10010|ID:78953468| NAD-dependent dehydratase [Frankia AcoPRA]	8	10	9	10	10	10	9	9	7	10	7	7	9	9	9	9	9	8	9	5	8	9	6	8	9	8	7	10	7	9	7	11	10
33_frankia_FAM000009	>FRAACOPRA_v1_10011|ID:78953469| Periplasmic sensor signal transduction histidine kinase [Frankia AcoPRA]	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1
33_frankia_FAM000010	>FRAACOPRA_v1_10012|ID:78953470|regX| Sensory transduction protein RegX3 [Frankia AcoPRA]	14	13	12	12	14	14	11	19	12	12	12	12	15	15	15	15	15	14	15	7	11	9	15	16	12	18	16	17	15	25	24	19	19
33_frankia_FAM000011	>FRAACOPRA_v1_10013|ID:78953471| Glycosyltransferase family 2 protein [Frankia AcoPRA]	4	3	2	4	3	3	0	2	1	2	1	1	4	4	4	4	4	3	4	3	3	3	2	1	0	3	2	2	2	4	4	5	4
33_frankia_FAM000012	>FRAACOPRA_v1_10014|ID:78953472| conserved protein of unknown function [Frankia AcoPRA]	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1
33_frankia_FAM000013	>FRAACOPRA_v1_10015|ID:78953473| Methyltransferase type 11 [Frankia AcoPRA]	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1
33_frankia_FAM000014	>FRAACOPRA_v1_10016|ID:78953474| membrane protein of unknown function [Frankia AcoPRA]	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0
