AmpId	SequenceId	PositionInSequence	Length
28729_2_amp_1	III_14_1121.1	1119264	328
28729_2_amp_2	III_36_22311C00010.1	2950	328
28729_2_amp_3	III_37_9940C00464.1	38360	328
28729_2_amp_4	III_41_22826C00507.1	3628	328
28729_2_amp_5	IV_17_22599C00351.1	29601	328
28729_2_amp_6	IV_18_22602C00720.1	1774	328
28729_2_amp_7	I_1_22555C00006.1	142041	328
28729_2_amp_8	I_35_18770C00031.1	41610	328
28729_2_amp_9	I_4_22608C00016.1	72207	328
28729_2_amp_10	I_5_22828C00006.2	205666	328
28729_2_amp_11	Ia_23_10528C00010.1	7385	328
28729_2_amp_12	Ia_24_14478C00002.1	38524	328
28729_2_amp_13	Ia_25_17329C00054.1	1884	328
28729_2_amp_14	Ia_26_17150C00051.1	38822	328
28729_2_amp_15	Ic_32_1122.1	4522404	328
28729_2_amp_16	Ic_33_6266C00031.1	58213	328
28729_2_amp_17	Ic_34_23503C00393.1	54086	328
28729_3_amp_1	III_14_1121.1	1119263	330
28729_3_amp_2	III_36_22311C00010.1	2949	330
28729_3_amp_3	III_37_9940C00464.1	38359	330
28729_3_amp_4	III_41_22826C00507.1	3627	330
28729_3_amp_5	IV_17_22599C00351.1	29600	330
28729_3_amp_6	IV_18_22602C00720.1	1773	330
28729_3_amp_7	I_1_22555C00006.1	142040	330
28729_3_amp_8	I_35_18770C00031.1	41609	330
28729_3_amp_9	I_4_22608C00016.1	72206	330
28729_3_amp_10	I_5_22828C00006.2	205665	330
28729_3_amp_11	Ia_23_10528C00010.1	7384	330
28729_3_amp_12	Ia_24_14478C00002.1	38523	330
28729_3_amp_13	Ia_25_17329C00054.1	1883	330
28729_3_amp_14	Ia_26_17150C00051.1	38821	330
28729_3_amp_15	Ic_32_1122.1	4522403	330
28729_3_amp_16	Ic_33_6266C00031.1	58212	330
28729_3_amp_17	Ic_34_23503C00393.1	54085	330
28729_4_amp_1	III_11_6264C00005.1	323914	340
28729_4_amp_2	III_14_1121.1	1119258	340
28729_4_amp_3	III_36_22311C00010.1	2944	340
28729_4_amp_4	III_37_9940C00464.1	38354	340
28729_4_amp_5	III_41_22826C00507.1	3622	340
28729_4_amp_6	IV_20_6269C00006.1	522703	340
28729_4_amp_7	IV_39_21414C00007.1	20679	340
28729_4_amp_8	IV_7_22597C00040.1	6288	340
28729_4_amp_9	IV_8_22598C00555.1	11699	340
28729_4_amp_10	I_5_22828C00006.2	205660	340
28729_4_amp_11	Ia_23_10528C00010.1	7379	340
28729_4_amp_12	Ia_24_14478C00002.1	38518	340
28729_4_amp_13	Ia_25_17329C00054.1	1878	340
28729_4_amp_14	Ia_26_17150C00051.1	38816	340
28729_5_amp_1	III_11_6264C00005.1	323915	338
28729_5_amp_2	III_14_1121.1	1119259	338
28729_5_amp_3	III_36_22311C00010.1	2945	338
28729_5_amp_4	III_37_9940C00464.1	38355	338
28729_5_amp_5	III_41_22826C00507.1	3623	338
28729_5_amp_6	IV_20_6269C00006.1	522704	338
28729_5_amp_7	IV_39_21414C00007.1	20680	338
28729_5_amp_8	IV_7_22597C00040.1	6289	338
28729_5_amp_9	IV_8_22598C00555.1	11700	338
28729_5_amp_10	I_5_22828C00006.2	205661	338
28729_5_amp_11	Ia_23_10528C00010.1	7380	338
28729_5_amp_12	Ia_24_14478C00002.1	38519	338
28729_5_amp_13	Ia_25_17329C00054.1	1879	338
