AmpId	SequenceId	PositionInSequence	Length
ftsZ_amp_1	III_11_6264C00002.1	245174	757
ftsZ_amp_2	III_12_6265C00002.1	282113	757
ftsZ_amp_3	III_14_1121.1	6096821	757
ftsZ_amp_4	III_36_22311C00062.1	38621	757
ftsZ_amp_5	III_37_9940C00336.1	18740	757
ftsZ_amp_6	III_40_23543C00036.1	80943	757
ftsZ_amp_7	III_41_22826C00370.1	6160	757
ftsZ_amp_8	I_2_22603C00009.1	19126	757
ftsZ_amp_9	I_38_22827C00032.1	20024	757
ftsZ_amp_10	I_5_22828C00002.2	72667	757
ftsZ_amp_11	I_6_22825C00771.1	1228	757
ftsZ_amp_12	Ia_21_284.1	2411940	757
ftsZ_amp_13	Ia_22_14731C00080.1	1565	757
ftsZ_amp_14	Ia_23_10528C00106.1	16835	757
ftsZ_amp_15	Ia_27_19479C00005.1	171213	757
ftsZ_amp_16	Ia_28_14556C00014.1	27171	757
ftsZ_amp_17	Ia_29_19480C00039.1	54376	757
ftsZ_amp_18	Ia_30_6268C00049.1	38239	757
ftsZ_amp_19	Ia_31_6270C00004.1	124904	757
ftsZ_amp_20	Ic_32_1122.1	1709375	757
ftsZ_amp_21	Ic_33_6266C00020.1	102480	757
ftsZ_amp_22	Ic_34_23503C00112.1	1529	757
ftsZ_amp_23	I_3_22829C01035.2	274	757
pgk_amp_1	III_11_6264C00007.1	230750	710
pgk_amp_2	III_13_6010C00002.1	395288	710
pgk_amp_3	III_14_1121.1	2487734	710
pgk_amp_4	III_36_22311C00005.1	153087	710
pgk_amp_5	III_37_9940C00426.1	44490	710
pgk_amp_6	III_41_22826C00364.1	5230	710
pgk_amp_7	Ia_21_284.1	4976160	710
pgk_amp_8	Ia_22_14731C00063.1	5314	710
pgk_amp_9	Ia_28_14556C00071.1	6393	710
pgk_amp_10	Ia_29_19480C00023.1	94844	710
pgk_amp_11	Ia_30_6268C00007.1	7976	710
pgk_amp_12	Ic_32_1122.1	1970582	710
pgk_amp_13	Ic_33_6266C00046.1	4510	710
pgk_amp_14	Ic_34_23503C00307.1	3240	710
dnaA	No amplification
atpD_amp_1	III_11_6264C00005.1	407213	755
atpD_amp_2	III_12_6265C00052.1	31114	755
atpD_amp_3	III_13_6010C00001.1	1638643	755
atpD_amp_4	III_14_1121.1	1205051	755
atpD_amp_5	III_15_10759C00219.1	14811	755
atpD_amp_6	III_36_22311C00024.1	83464	755
atpD_amp_7	III_37_9940C00343.1	27217	755
atpD_amp_8	III_40_23543C00152.1	341270	755
atpD_amp_9	III_41_22826C00124.1	9885	755
atpD_amp_10	IV_16_6263.1	1173782	755
atpD_amp_11	IV_17_22599C00347.1	22443	755
atpD_amp_12	IV_18_22602C00540.1	7007	755
atpD_amp_13	IV_39_21414C00216.1	14301	755
atpD_amp_14	IV_7_22597C00110.1	40534	755
atpD_amp_15	IV_8_22598C00217.1	7786	755
atpD_amp_16	I_1_22555C00006.1	253578	755
atpD_amp_17	I_2_22603C00048.1	25512	755
atpD_amp_18	I_35_18770C00013.1	81470	755
atpD_amp_19	I_38_22827C00289.1	21282	755
atpD_amp_20	I_5_22828C00041.2	11241	755
atpD_amp_21	I_6_22825C00026.1	15982	755
atpD_amp_22	Ia_21_284.1	6431819	755
atpD_amp_23	Ia_22_14731C00011.1	13150	755
atpD_amp_24	Ia_23_10528C00026.1	45790	755
atpD_amp_25	Ia_24_14478C00016.1	11926	755
atpD_amp_26	Ia_25_17329C00192.1	10944	755
atpD_amp_27	Ia_26_17150C00178.1	12137	755
atpD_amp_28	Ia_27_19479C00034.1	79124	755
atpD_amp_29	Ia_28_14556C00046.1	13148	755
atpD_amp_30	Ia_29_19480C00033.1	68512	755
atpD_amp_31	Ia_30_6268C00097.1	41607	755
atpD_amp_32	Ia_31_6270C00018.1	116967	755
atpD_amp_33	Ic_32_1122.1	4440129	755
atpD_amp_34	Ic_33_6266C00024.1	23365	755
atpD_amp_35	Ic_34_23503C00233.1	8619	755
atpD_amp_36	I_3_22829C00031.2	5141	755
rpoB	No amplification
