AmpId	SequenceId	PositionInSequence	Length
28729_2_amp_1	III_11_6264C00005.1	323920	328
28729_2_amp_2	III_12_6265C00001.1	52751	328
28729_2_amp_3	III_13_6010C00001.1	1735890	328
28729_2_amp_4	III_14_1121.1	1119264	328
28729_2_amp_5	III_15_10759C00203.1	10023	328
28729_2_amp_6	III_36_22311C00010.1	2950	328
28729_2_amp_7	III_37_9940C00464.1	38360	328
28729_2_amp_8	III_41_22826C00507.1	3628	328
28729_2_amp_9	II_10_6272C00023.1	72653	328
28729_2_amp_10	II_9_2088.2	1121441	328
28729_2_amp_11	IV_16_6263.1	989991	328
28729_2_amp_12	IV_17_22599C00351.1	29601	328
28729_2_amp_13	IV_18_22602C00720.1	1774	328
28729_2_amp_14	IV_19_6271C00001.1	2539851	328
28729_2_amp_15	IV_20_6269C00006.1	522709	328
28729_2_amp_16	IV_39_21414C00007.1	20685	328
28729_2_amp_17	IV_7_22597C00040.1	6294	328
28729_2_amp_18	IV_8_22598C00555.1	11705	328
28729_2_amp_19	I_1_22555C00006.1	142041	328
28729_2_amp_20	I_35_18770C00031.1	41610	328
28729_2_amp_21	I_38_22827C00083.1	7015	328
28729_2_amp_22	I_4_22608C00016.1	72207	328
28729_2_amp_23	I_5_22828C00006.2	205666	328
28729_2_amp_24	Ia_21_284.1	6522169	328
28729_2_amp_25	Ia_23_10528C00010.1	7385	328
28729_2_amp_26	Ia_24_14478C00002.1	38524	328
28729_2_amp_27	Ia_25_17329C00054.1	1884	328
28729_2_amp_28	Ia_26_17150C00051.1	38822	328
28729_2_amp_29	Ia_29_19480C00009.1	81928	328
28729_2_amp_30	Ia_30_6268C00096.1	36843	328
28729_2_amp_31	Ic_32_1122.1	4522404	328
28729_2_amp_32	Ic_33_6266C00031.1	58213	328
28729_2_amp_33	Ic_34_23503C00393.1	54086	328
28729_2_amp_34	I_3_22829C00042.2	15570	328
28729_3_amp_1	III_11_6264C00005.1	323919	330
28729_3_amp_2	III_12_6265C00001.1	52750	330
28729_3_amp_3	III_13_6010C00001.1	1735889	330
28729_3_amp_4	III_14_1121.1	1119263	330
28729_3_amp_5	III_15_10759C00203.1	10022	330
28729_3_amp_6	III_36_22311C00010.1	2949	330
