AmpId	primerId	amp	amps_nb	SequenceId	cluster	cluster_group	sequence	PositionInSequence	Length	count_I	count_II	count_III	count_IV	non_target_count
28729_2_amp_1	28729_2	1.0	34.0	III_11_6264C00005.1	III	III	11_6264C00005.1	323920.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_2	28729_2	2.0	34.0	III_12_6265C00001.1	III	III	12_6265C00001.1	52751.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_3	28729_2	3.0	34.0	III_13_6010C00001.1	III	III	13_6010C00001.1	1735890.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_4	28729_2	4.0	34.0	III_14_1121.1	III	III	14_1121.1	1119264.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_5	28729_2	5.0	34.0	III_15_10759C00203.1	III	III	15_10759C00203.1	10023.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_6	28729_2	6.0	34.0	III_36_22311C00010.1	III	III	36_22311C00010.1	2950.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_7	28729_2	7.0	34.0	III_37_9940C00464.1	III	III	37_9940C00464.1	38360.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_8	28729_2	8.0	34.0	III_41_22826C00507.1	III	III	41_22826C00507.1	3628.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_9	28729_2	9.0	34.0	II_10_6272C00023.1	II	II	10_6272C00023.1	72653.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_10	28729_2	10.0	34.0	II_9_2088.2	II	II	9_2088.2	1121441.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_11	28729_2	11.0	34.0	IV_16_6263.1	IV	IV	16_6263.1	989991.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_12	28729_2	12.0	34.0	IV_17_22599C00351.1	IV	IV	17_22599C00351.1	29601.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_13	28729_2	13.0	34.0	IV_18_22602C00720.1	IV	IV	18_22602C00720.1	1774.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_14	28729_2	14.0	34.0	IV_19_6271C00001.1	IV	IV	19_6271C00001.1	2539851.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_15	28729_2	15.0	34.0	IV_20_6269C00006.1	IV	IV	20_6269C00006.1	522709.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_16	28729_2	16.0	34.0	IV_39_21414C00007.1	IV	IV	39_21414C00007.1	20685.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_17	28729_2	17.0	34.0	IV_7_22597C00040.1	IV	IV	7_22597C00040.1	6294.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_18	28729_2	18.0	34.0	IV_8_22598C00555.1	IV	IV	8_22598C00555.1	11705.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_19	28729_2	19.0	34.0	I_1_22555C00006.1	I	I	1_22555C00006.1	142041.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_20	28729_2	20.0	34.0	I_35_18770C00031.1	I	I	35_18770C00031.1	41610.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_21	28729_2	21.0	34.0	I_38_22827C00083.1	I	I	38_22827C00083.1	7015.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_22	28729_2	22.0	34.0	I_4_22608C00016.1	I	I	4_22608C00016.1	72207.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_23	28729_2	23.0	34.0	I_5_22828C00006.2	I	I	5_22828C00006.2	205666.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_24	28729_2	24.0	34.0	Ia_21_284.1	Ia	I	21_284.1	6522169.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_25	28729_2	25.0	34.0	Ia_23_10528C00010.1	Ia	I	23_10528C00010.1	7385.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_26	28729_2	26.0	34.0	Ia_24_14478C00002.1	Ia	I	24_14478C00002.1	38524.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_27	28729_2	27.0	34.0	Ia_25_17329C00054.1	Ia	I	25_17329C00054.1	1884.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_28	28729_2	28.0	34.0	Ia_26_17150C00051.1	Ia	I	26_17150C00051.1	38822.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_29	28729_2	29.0	34.0	Ia_29_19480C00009.1	Ia	I	29_19480C00009.1	81928.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_30	28729_2	30.0	34.0	Ia_30_6268C00096.1	Ia	I	30_6268C00096.1	36843.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_31	28729_2	31.0	34.0	Ic_32_1122.1	Ic	I	32_1122.1	4522404.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_32	28729_2	32.0	34.0	Ic_33_6266C00031.1	Ic	I	33_6266C00031.1	58213.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_33	28729_2	33.0	34.0	Ic_34_23503C00393.1	Ic	I	34_23503C00393.1	54086.0	328.0	16.0	2.0	8.0	8.0	0
28729_2_amp_34	28729_2	34.0	34.0	I_3_22829C00042.2	I	I	3_22829C00042.2	15570.0	328.0	16.0	2.0	8.0	8.0	0
28729_3_amp_1	28729_3	1.0	34.0	III_11_6264C00005.1	III	III	11_6264C00005.1	323919.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_2	28729_3	2.0	34.0	III_12_6265C00001.1	III	III	12_6265C00001.1	52750.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_3	28729_3	3.0	34.0	III_13_6010C00001.1	III	III	13_6010C00001.1	1735889.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_4	28729_3	4.0	34.0	III_14_1121.1	III	III	14_1121.1	1119263.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_5	28729_3	5.0	34.0	III_15_10759C00203.1	III	III	15_10759C00203.1	10022.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_6	28729_3	6.0	34.0	III_36_22311C00010.1	III	III	36_22311C00010.1	2949.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_7	28729_3	7.0	34.0	III_37_9940C00464.1	III	III	37_9940C00464.1	38359.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_8	28729_3	8.0	34.0	III_41_22826C00507.1	III	III	41_22826C00507.1	3627.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_9	28729_3	9.0	34.0	II_10_6272C00023.1	II	II	10_6272C00023.1	72652.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_10	28729_3	10.0	34.0	II_9_2088.2	II	II	9_2088.2	1121440.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_11	28729_3	11.0	34.0	IV_16_6263.1	IV	IV	16_6263.1	989990.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_12	28729_3	12.0	34.0	IV_17_22599C00351.1	IV	IV	17_22599C00351.1	29600.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_13	28729_3	13.0	34.0	IV_18_22602C00720.1	IV	IV	18_22602C00720.1	1773.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_14	28729_3	14.0	34.0	IV_19_6271C00001.1	IV	IV	19_6271C00001.1	2539850.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_15	28729_3	15.0	34.0	IV_20_6269C00006.1	IV	IV	20_6269C00006.1	522708.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_16	28729_3	16.0	34.0	IV_39_21414C00007.1	IV	IV	39_21414C00007.1	20684.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_17	28729_3	17.0	34.0	IV_7_22597C00040.1	IV	IV	7_22597C00040.1	6293.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_18	28729_3	18.0	34.0	IV_8_22598C00555.1	IV	IV	8_22598C00555.1	11704.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_19	28729_3	19.0	34.0	I_1_22555C00006.1	I	I	1_22555C00006.1	142040.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_20	28729_3	20.0	34.0	I_35_18770C00031.1	I	I	35_18770C00031.1	41609.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_21	28729_3	21.0	34.0	I_38_22827C00083.1	I	I	38_22827C00083.1	7014.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_22	28729_3	22.0	34.0	I_4_22608C00016.1	I	I	4_22608C00016.1	72206.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_23	28729_3	23.0	34.0	I_5_22828C00006.2	I	I	5_22828C00006.2	205665.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_24	28729_3	24.0	34.0	Ia_21_284.1	Ia	I	21_284.1	6522168.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_25	28729_3	25.0	34.0	Ia_23_10528C00010.1	Ia	I	23_10528C00010.1	7384.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_26	28729_3	26.0	34.0	Ia_24_14478C00002.1	Ia	I	24_14478C00002.1	38523.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_27	28729_3	27.0	34.0	Ia_25_17329C00054.1	Ia	I	25_17329C00054.1	1883.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_28	28729_3	28.0	34.0	Ia_26_17150C00051.1	Ia	I	26_17150C00051.1	38821.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_29	28729_3	29.0	34.0	Ia_29_19480C00009.1	Ia	I	29_19480C00009.1	81927.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_30	28729_3	30.0	34.0	Ia_30_6268C00096.1	Ia	I	30_6268C00096.1	36842.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_31	28729_3	31.0	34.0	Ic_32_1122.1	Ic	I	32_1122.1	4522403.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_32	28729_3	32.0	34.0	Ic_33_6266C00031.1	Ic	I	33_6266C00031.1	58212.0	330.0	16.0	2.0	8.0	8.0	0
28729_3_amp_33	28729_3	33.0	34.0	Ic_34_23503C00393.1	Ic	I	34_23503C00393.1	54085.0	330.0	16.0	2.0	8.0	8.0	0
