AmpId	primerId	amp	amps_nb	SequenceId	cluster	cluster_group	sequence	PositionInSequence	Length	count_I	count_II	count_III	count_IV	non_target_count
28729_2_amp_1	28729_2	1.0	17.0	III_14_1121.1	III	III	14_1121.1	1119264.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_2	28729_2	2.0	17.0	III_36_22311C00010.1	III	III	36_22311C00010.1	2950.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_3	28729_2	3.0	17.0	III_37_9940C00464.1	III	III	37_9940C00464.1	38360.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_4	28729_2	4.0	17.0	III_41_22826C00507.1	III	III	41_22826C00507.1	3628.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_5	28729_2	5.0	17.0	IV_17_22599C00351.1	IV	IV	17_22599C00351.1	29601.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_6	28729_2	6.0	17.0	IV_18_22602C00720.1	IV	IV	18_22602C00720.1	1774.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_7	28729_2	7.0	17.0	I_1_22555C00006.1	I	I	1_22555C00006.1	142041.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_8	28729_2	8.0	17.0	I_35_18770C00031.1	I	I	35_18770C00031.1	41610.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_9	28729_2	9.0	17.0	I_4_22608C00016.1	I	I	4_22608C00016.1	72207.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_10	28729_2	10.0	17.0	I_5_22828C00006.2	I	I	5_22828C00006.2	205666.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_11	28729_2	11.0	17.0	Ia_23_10528C00010.1	Ia	I	23_10528C00010.1	7385.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_12	28729_2	12.0	17.0	Ia_24_14478C00002.1	Ia	I	24_14478C00002.1	38524.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_13	28729_2	13.0	17.0	Ia_25_17329C00054.1	Ia	I	25_17329C00054.1	1884.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_14	28729_2	14.0	17.0	Ia_26_17150C00051.1	Ia	I	26_17150C00051.1	38822.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_15	28729_2	15.0	17.0	Ic_32_1122.1	Ic	I	32_1122.1	4522404.0	328.0	11.0	0.0	4.0	2.0	0
28729_2_amp_16	28729_2	16.0	17.0	Ic_33_6266C00031.1	Ic	I	33_6266C00031.1	58213.0	328.0	11.0	0.0	4.0	2.0	0
